Year,Months,Months,Cases,Deaths,T2M,T2M_MIN,T2M_MAX,RH2M,PRECTOTCORR,PS,WS50_MAX,Pd,GDP,GNI,PHR,ALR,UnE,EA,SSS,PG,FR,AGR,AL,Precipitation(mm),WC(tons),AP,CHE
2003,9,Sep,3,0,27.8,25.08,32.76,88.75,6.16,100.42,11.95,1036,60.16,460,44.5,50.4,4.3,40.7,21,1.7,14.68,71.66,63.21,2139.97,12683.81,1587606,2.31
2003,10,Oct,0,0,26.68,21.28,32.76,84.94,4.87,100.93,8.95,1036,60.16,460,44.5,50.4,4.3,40.7,21,1.7,14.68,71.66,63.21,2139.97,12683.81,1587606,2.31
2003,11,Nov,372,8,21.83,13.59,32.76,78.12,0.08,101.3,6.07,1036,60.16,460,44.5,50.4,4.3,40.7,21,1.7,14.68,71.66,63.21,2139.97,12683.81,1587606,2.31
2003,12,Dec,100,2,18.91,10.3,32.76,76.69,1.28,101.51,8.35,1036,60.16,460,44.5,50.4,4.3,40.7,21,1.7,14.68,71.66,63.21,2139.97,12683.81,1587606,2.31
2004,1,Jan,0,0,17.94,8.11,32.76,67.88,0.07,101.43,7.94,1052,65.11,510,43.2,51.6,4.3,40.6,22,1.6,14.65,71.62,62.56,2210.39,13055.13,1650276,2.34
2004,2,Feb,0,0,21.37,9.97,32.76,54.25,0.09,101.25,8.09,1052,65.11,510,43.2,51.6,4.3,40.6,22,1.6,14.65,71.62,62.56,2210.39,13055.13,1650276,2.34
2004,3,Mar,1,0,27.54,15.57,32.76,53.06,0.47,100.86,11.33,1052,65.11,510,43.2,51.6,4.3,40.6,22,1.6,14.65,71.62,62.56,2210.39,13055.13,1650276,2.34
2004,4,Apr,0,0,29.37,22.19,32.76,67.88,5.93,100.61,14.71,1052,65.11,510,43.2,51.6,4.3,40.6,22,1.6,14.65,71.62,62.56,2210.39,13055.13,1650276,2.34
2004,5,May,1,0,30.74,22.73,32.76,68.12,3.83,100.24,10.66,1052,65.11,510,43.2,51.6,4.3,40.6,22,1.6,14.65,71.62,62.56,2210.39,13055.13,1650276,2.34
2004,6,Jun,143,0,29.23,25.25,32.76,81.81,10.52,100.14,13.8,1052,65.11,510,43.2,51.6,4.3,40.6,22,1.6,14.65,71.62,62.56,2210.39,13055.13,1650276,2.34
2004,7,Jul,1209,4,27.98,24.65,32.76,89.5,11.09,100.13,11.07,1052,65.11,510,43.2,51.6,4.3,40.6,22,1.6,14.65,71.62,62.56,2210.39,13055.13,1650276,2.34
2004,8,Aug,1261,1,28.05,25.42,32.76,90.12,7.45,100.03,9.68,1052,65.11,510,43.2,51.6,4.3,40.6,22,1.6,14.65,71.62,62.56,2210.39,13055.13,1650276,2.34
2004,9,Sep,511,4,27.19,23.29,32.76,90.38,22.23,100.56,12.89,1052,65.11,510,43.2,51.6,4.3,40.6,22,1.6,14.65,71.62,62.56,2210.39,13055.13,1650276,2.34
2004,10,Oct,362,3,25.1,17.59,32.76,86.31,5.9,101.13,14.27,1052,65.11,510,43.2,51.6,4.3,40.6,22,1.6,14.65,71.62,62.56,2210.39,13055.13,1650276,2.34
2004,11,Nov,395,1,21.55,15.13,32.76,79.06,0.01,101.36,6.67,1052,65.11,510,43.2,51.6,4.3,40.6,22,1.6,14.65,71.62,62.56,2210.39,13055.13,1650276,2.34
2004,12,Dec,51,0,19.58,8.38,32.76,74.44,0.01,101.44,7.17,1052,65.11,510,43.2,51.6,4.3,40.6,22,1.6,14.65,71.62,62.56,2210.39,13055.13,1650276,2.34
2005,1,Jan,1,0,17.87,9.62,32.76,69.75,0.2,101.41,8.52,1068,69.44,550,40,53.5,4.3,44.2,23,1.5,14.63,71.53,60.77,1980.05,13330,1634473,2.41
2005,2,Feb,0,0,23.08,9.29,32.76,56.38,0.16,101.23,9.71,1068,69.44,550,40,53.5,4.3,44.2,23,1.5,14.63,71.53,60.77,1980.05,13330,1634473,2.41
2005,3,Mar,0,0,27.69,17.8,32.76,59.19,4.28,100.97,12.4,1068,69.44,550,40,53.5,4.3,44.2,23,1.5,14.63,71.53,60.77,1980.05,13330,1634473,2.41
2005,4,Apr,0,0,29.15,19.7,32.76,64.38,2.93,100.83,9.58,1068,69.44,550,40,53.5,4.3,44.2,23,1.5,14.63,71.53,60.77,1980.05,13330,1634473,2.41
2005,5,May,0,0,29.69,22.9,32.76,73.19,6.06,100.39,9.72,1068,69.44,550,40,53.5,4.3,44.2,23,1.5,14.63,71.53,60.77,1980.05,13330,1634473,2.41
2005,6,Jun,2,0,30.08,25.23,32.76,78.88,4.71,99.9,12.03,1068,69.44,550,40,53.5,4.3,44.2,23,1.5,14.63,71.53,60.77,1980.05,13330,1634473,2.41
2005,7,Jul,3,0,28.36,24.46,32.76,88.38,12.15,100.09,10.26,1068,69.44,550,40,53.5,4.3,44.2,23,1.5,14.63,71.53,60.77,1980.05,13330,1634473,2.41
2005,8,Aug,174,0,28.48,25.51,32.76,88.88,11.11,100.01,9.89,1068,69.44,550,40,53.5,4.3,44.2,23,1.5,14.63,71.53,60.77,1980.05,13330,1634473,2.41
2005,9,Sep,337,1,27.87,24.54,32.76,88.38,10.67,100.46,11.44,1068,69.44,550,40,53.5,4.3,44.2,23,1.5,14.63,71.53,60.77,1980.05,13330,1634473,2.41
2005,10,Oct,325,1,26.08,19.23,32.76,86.12,9.46,100.97,10.77,1068,69.44,550,40,53.5,4.3,44.2,23,1.5,14.63,71.53,60.77,1980.05,13330,1634473,2.41
2005,11,Nov,187,2,21.38,12.8,32.76,82.5,0.13,101.2,7.47,1068,69.44,550,40,53.5,4.3,44.2,23,1.5,14.63,71.53,60.77,1980.05,13330,1634473,2.41
2005,12,Dec,19,0,18.12,10.67,32.76,81.62,0.03,101.31,8,1068,69.44,550,40,53.5,4.3,44.2,23,1.5,14.63,71.53,60.77,1980.05,13330,1634473,2.41
2006,1,Jan,0,0,17.26,8.74,32.76,70.44,0,101.38,8.82,1083,71.82,570,39.1,53.7,3.6,50.5,24,1.3,14.61,71.29,60.54,1880.04,14831.09,1729451,2.48
2006,2,Feb,0,0,23.66,13.93,32.76,61.31,0.09,101.14,9.5,1083,71.82,570,39.1,53.7,3.6,50.5,24,1.3,14.61,71.29,60.54,1880.04,14831.09,1729451,2.48
2006,3,Mar,0,0,27.67,17.12,32.76,46.06,0.05,100.89,8.15,1083,71.82,570,39.1,53.7,3.6,50.5,24,1.3,14.61,71.29,60.54,1880.04,14831.09,1729451,2.48
2006,4,Apr,0,0,30.1,21.85,32.76,61.88,4.16,100.59,10.23,1083,71.82,570,39.1,53.7,3.6,50.5,24,1.3,14.61,71.29,60.54,1880.04,14831.09,1729451,2.48
2006,5,May,0,0,29.97,23.08,32.76,72,9.98,100.38,10.59,1083,71.82,570,39.1,53.7,3.6,50.5,24,1.3,14.61,71.29,60.54,1880.04,14831.09,1729451,2.48
2006,6,Jun,100,1,28.42,25.6,32.76,89.06,9.83,100.15,12.65,1083,71.82,570,39.1,53.7,3.6,50.5,24,1.3,14.61,71.29,60.54,1880.04,14831.09,1729451,2.48
2006,7,Jul,972,1,28.36,25.22,32.76,89.5,8.62,99.92,11.02,1083,71.82,570,39.1,53.7,3.6,50.5,24,1.3,14.61,71.29,60.54,1880.04,14831.09,1729451,2.48
2006,8,Aug,680,1,27.81,24.16,32.76,89,7.26,100.13,11.11,1083,71.82,570,39.1,53.7,3.6,50.5,24,1.3,14.61,71.29,60.54,1880.04,14831.09,1729451,2.48
2006,9,Sep,211,6,27.62,23.91,32.76,88.25,13.57,100.51,12.98,1083,71.82,570,39.1,53.7,3.6,50.5,24,1.3,14.61,71.29,60.54,1880.04,14831.09,1729451,2.48
2006,10,Oct,145,1,26.33,18.05,32.76,82.56,2,101.02,6.98,1083,71.82,570,39.1,53.7,3.6,50.5,24,1.3,14.61,71.29,60.54,1880.04,14831.09,1729451,2.48
2006,11,Nov,92,1,22.39,12.16,32.76,76.94,0.1,101.25,6.41,1083,71.82,570,39.1,53.7,3.6,50.5,24,1.3,14.61,71.29,60.54,1880.04,14831.09,1729451,2.48
2006,12,Dec,0,0,19.26,10.76,32.76,71,0.01,101.46,8.38,1083,71.82,570,39.1,53.7,3.6,50.5,24,1.3,14.61,71.29,60.54,1880.04,14831.09,1729451,2.48
2007,1,Jan,0,0,17.56,9.01,32.76,59.62,0,101.55,8.61,1096,79.61,610,38.2,56.3,4.1,46.5,25,1.2,14.58,71.18,60.04,2432.2,15912.67,1242865,2.56
